title,text,source,source_type,url,published,collected_at,full_text,auto_sentiment,manual_sentiment
"May 06, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 06, 2020, Wednesday. ",Neutral,
"May 05, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 05, 2020, Tuesday. ",Neutral,
"May 04, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 04, 2020, Monday. ",Neutral,
"May 03, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 03, 2020, Sunday. ",Neutral,
"May 02, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 02, 2020, Saturday. ",Neutral,
"May 01, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 01, 2020, Friday. ",Neutral,
"April 30, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 30, 2020, Thursday. ",Neutral,
"April 29, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 29, 2020, Wednesday. ",Neutral,
"April 28, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 28, 2020, Tuesday. ",Neutral,
"April 27, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 27, 2020, Monday. ",Neutral,
"April 26, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 26, 2020, Sunday. ",Neutral,
"April 24, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 24, 2020, Friday. ",Neutral,
"April 23, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 23, 2020, Thursday. ",Neutral,
"April 22, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 22, 2020, Wednesday. ",Neutral,
"April 21, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 21, 2020, Tuesday. ",Neutral,
"April 20, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 20, 2020, Monday. ",Neutral,
"April 19, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 19, 2020, Sunday. ",Neutral,
"April 18, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 18, 2020, Saturday. ",Neutral,
"April 17, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 17, 2020, Friday. ",Neutral,
"April 16, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 16, 2020, Thursday. ",Neutral,
"April 15, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 15, 2020, Wednesday. ",Neutral,
"April 14, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 14, 2020, Tuesday. ",Neutral,
"April 13, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 13, 2020, Monday. ",Neutral,
"April 12, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 12, 2020, Sunday. ",Neutral,
"April 11, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 11, 2020, Saturday. ",Neutral,
"April 10, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 10, 2020, Friday. ",Neutral,
"April 09, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 09, 2020, Thursday. ",Neutral,
"April 08, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 08, 2020, Wednesday. ",Neutral,
"April 07, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 07, 2020, Tuesday. ",Neutral,
"April 06, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 06, 2020, Monday. ",Neutral,
"April 05, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 05, 2020, Sunday. ",Neutral,
"April 04, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 04, 2020, Saturday. ",Neutral,
"April 03, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 03, 2020, Friday. ",Neutral,
"April 02, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 02, 2020, Thursday. ",Neutral,
"April 01, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"April 01, 2020, Wednesday. ",Neutral,
"March 31, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 31, 2020, Tuesday. ",Neutral,
"March 30, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 30, 2020, Monday. ",Neutral,
"March 29, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 29, 2020, Sunday. ",Neutral,
"March 28, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 28, 2020, Saturday. ",Neutral,
"March 27, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 27, 2020, Friday. ",Neutral,
"March 26, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 26, 2020, Thursday. ",Neutral,
"March 25, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 25, 2020, Wednesday. ",Neutral,
"March 24, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 24, 2020, Tuesday. ",Neutral,
"March 23, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 23, 2020, Monday. ",Neutral,
"March 22, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 22, 2020, Sunday. ",Neutral,
"March 21, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 21, 2020, Saturday. ",Neutral,
"March 20, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 20, 2020, Friday. ",Neutral,
"March 19, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 19, 2020, Thursday. ",Neutral,
"March 18, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 18, 2020, Wednesday. ",Neutral,
"March 17, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 17, 2020, Tuesday. ",Neutral,
"March 16, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 16, 2020, Monday. ",Neutral,
"March 15, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 15, 2020, Sunday. ",Neutral,
"March 14, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 14, 2020, Saturday. ",Neutral,
"March 13, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 13, 2020, Friday. ",Neutral,
"March 12, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 12, 2020, Thursday. ",Neutral,
"March 11, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 11, 2020, Wednesday. ",Neutral,
"March 10, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 10, 2020, Tuesday. ",Neutral,
"March 09, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 09, 2020, Monday. ",Neutral,
"March 08, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 08, 2020, Sunday. ",Neutral,
"March 07, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 07, 2020, Saturday. ",Neutral,
"March 06, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 06, 2020, Friday. ",Neutral,
"March 05, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 05, 2020, Thursday. ",Neutral,
"March 04, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 04, 2020, Wednesday. ",Neutral,
"March 03, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 03, 2020, Tuesday. ",Neutral,
"March 02, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 02, 2020, Monday. ",Neutral,
"March 01, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"March 01, 2020, Sunday. ",Neutral,
"February 29, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 29, 2020, Saturday. ",Neutral,
"February 28, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 28, 2020, Friday. ",Neutral,
"February 27, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 27, 2020, Thursday. ",Neutral,
"February 26, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 26, 2020, Wednesday. ",Neutral,
"February 25, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 25, 2020, Tuesday. ",Neutral,
"February 24, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 24, 2020, Monday. ",Neutral,
"February 23, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 23, 2020, Sunday. ",Neutral,
"February 22, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 22, 2020, Saturday. ",Neutral,
"February 21, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 21, 2020, Friday. ",Neutral,
"February 20, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 20, 2020, Thursday. ",Neutral,
"February 19, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 19, 2020, Wednesday. ",Neutral,
"February 18, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 18, 2020, Tuesday. ",Neutral,
"February 17, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 17, 2020, Monday. ",Neutral,
"February 16, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 16, 2020, Sunday. ",Neutral,
"February 15, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 15, 2020, Saturday. ",Neutral,
"February 14, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 14, 2020, Friday. ",Neutral,
"February 13, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 13, 2020, Thursday. ",Neutral,
"February 12, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 12, 2020, Wednesday. ",Neutral,
"February 11, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 11, 2020, Tuesday. ",Neutral,
"February 10, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 10, 2020, Monday. ",Neutral,
"February 09, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 09, 2020, Sunday. ",Neutral,
"February 08, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 08, 2020, Saturday. ",Neutral,
"February 07, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 07, 2020, Friday. ",Neutral,
"February 06, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 06, 2020, Thursday. ",Neutral,
"February 05, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 05, 2020, Wednesday. ",Neutral,
"February 04, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 04, 2020, Tuesday. ",Neutral,
"February 03, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 03, 2020, Monday. ",Neutral,
"February 01, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"February 01, 2020, Saturday. ",Neutral,
"January 31, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 31, 2020, Friday. ",Neutral,
"January 30, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 30, 2020, Thursday. ",Neutral,
"January 29, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 29, 2020, Wednesday. ",Neutral,
"January 28, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 28, 2020, Tuesday. ",Neutral,
"January 27, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 27, 2020, Monday. ",Neutral,
"January 26, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 26, 2020, Sunday. ",Neutral,
"January 25, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 25, 2020, Saturday. ",Neutral,
"January 24, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 24, 2020, Friday. ",Neutral,
"January 23, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 23, 2020, Thursday. ",Neutral,
"January 22, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 22, 2020, Wednesday. ",Neutral,
"January 21, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 21, 2020, Tuesday. ",Neutral,
"January 20, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 20, 2020, Monday. ",Neutral,
"January 19, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 19, 2020, Sunday. ",Neutral,
"January 18, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 18, 2020, Saturday. ",Neutral,
"January 17, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 17, 2020, Friday. ",Neutral,
"January 16, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 16, 2020, Thursday. ",Neutral,
"January 15, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 15, 2020, Wednesday. ",Neutral,
"January 14, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 14, 2020, Tuesday. ",Neutral,
"January 13, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 13, 2020, Monday. ",Neutral,
"January 12, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 12, 2020, Sunday. ",Neutral,
"January 11, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 11, 2020, Saturday. ",Neutral,
"January 10, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 10, 2020, Friday. ",Neutral,
"January 09, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 09, 2020, Thursday. ",Neutral,
"January 08, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 08, 2020, Wednesday. ",Neutral,
"January 07, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 07, 2020, Tuesday. ",Neutral,
"January 06, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 06, 2020, Monday. ",Neutral,
"January 05, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 05, 2020, Sunday. ",Neutral,
"January 04, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 04, 2020, Saturday. ",Neutral,
"January 03, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 03, 2020, Friday. ",Neutral,
"January 02, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 02, 2020, Thursday. ",Neutral,
"January 01, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"January 01, 2020, Wednesday. ",Neutral,
"December 31, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 31, 2019, Tuesday. ",Neutral,
"December 30, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 30, 2019, Monday. ",Neutral,
"December 29, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 29, 2019, Sunday. ",Neutral,
"December 28, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 28, 2019, Saturday. ",Neutral,
"December 27, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 27, 2019, Friday. ",Neutral,
"December 26, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 26, 2019, Thursday. ",Neutral,
"December 25, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 25, 2019, Wednesday. ",Neutral,
"December 24, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 24, 2019, Tuesday. ",Neutral,
"December 23, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 23, 2019, Monday. ",Neutral,
"December 22, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 22, 2019, Sunday. ",Neutral,
"December 21, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 21, 2019, Saturday. ",Neutral,
"December 20, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 20, 2019, Friday. ",Neutral,
"December 19, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 19, 2019, Thursday. ",Neutral,
"December 18, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 18, 2019, Wednesday. ",Neutral,
"December 17, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 17, 2019, Tuesday. ",Neutral,
"December 16, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 16, 2019, Monday. ",Neutral,
"December 15, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 15, 2019, Sunday. ",Neutral,
"December 14, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 14, 2019, Saturday. ",Neutral,
"December 13, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 13, 2019, Friday. ",Neutral,
"December 12, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 12, 2019, Thursday. ",Neutral,
"December 11, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 11, 2019, Wednesday. ",Neutral,
"December 10, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 10, 2019, Tuesday. ",Neutral,
"December 09, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 09, 2019, Monday. ",Neutral,
"December 08, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 08, 2019, Sunday. ",Neutral,
"December 07, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 07, 2019, Saturday. ",Neutral,
"December 06, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 06, 2019, Friday. ",Neutral,
"December 05, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 05, 2019, Thursday. ",Neutral,
"December 04, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 04, 2019, Wednesday. ",Neutral,
"December 03, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 03, 2019, Tuesday. ",Neutral,
"December 02, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 02, 2019, Monday. ",Neutral,
"December 01, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"December 01, 2019, Sunday. ",Neutral,
"November 30, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 30, 2019, Saturday. ",Neutral,
"November 29, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 29, 2019, Friday. ",Neutral,
"November 28, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 28, 2019, Thursday. ",Neutral,
"November 27, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 27, 2019, Wednesday. ",Neutral,
"November 26, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 26, 2019, Tuesday. ",Neutral,
"November 25, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 25, 2019, Monday. ",Neutral,
"November 24, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 24, 2019, Sunday. ",Neutral,
"November 22, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 22, 2019, Friday. ",Neutral,
"November 21, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 21, 2019, Thursday. ",Neutral,
"November 20, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 20, 2019, Wednesday. ",Neutral,
"November 19, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 19, 2019, Tuesday. ",Neutral,
"November 18, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 18, 2019, Monday. ",Neutral,
"November 17, 2019, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 17, 2019, Sunday. ",Neutral,
"November 16, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 16, 2019, Saturday. ",Neutral,
"November 15, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 15, 2019, Friday. ",Neutral,
"November 14, 2019, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 14, 2019, Thursday. ",Neutral,
"November 13, 2019, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 13, 2019, Wednesday. ",Neutral,
"November 12, 2019, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 12, 2019, Tuesday. ",Neutral,
"November 11, 2019, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 11, 2019, Monday. ",Neutral,
"November 09, 2019, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 09, 2019, Saturday. ",Neutral,
"November 08, 2019, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"November 08, 2019, Friday. ",Neutral,
